Continent,State,City,GeoKey
North America,Washington,Spokane,1
North America,California,Bellflower,2
North America,Oregon,Beaverton,3
North America,Washington,Walla Walla,4
North America,California,San Gabriel,5
North America,California,Lincoln Acres,6
North America,Washington,Redmond,7
North America,Washington,Bellingham,8
North America,California,Newport Beach,9
North America,Washington,Seattle,10
North America,Washington,Everett,11
North America,California,Burbank,12
North America,California,San Francisco,13
North America,Washington,Yakima,14
North America,California,Burlingame,15
North America,California,Berkeley,16
North America,California,Grossmont,17
North America,California,Lakewood,18
North America,California,San Diego,19
North America,California,Oakland,20
North America,California,San Carlos,21
North America,California,Fremont,22
North America,California,Mill Valley,23
North America,California,Chula Vista,24
North America,Oregon,Oregon City,25
North America,California,West Covina,26
North America,California,Santa Cruz,27
North America,California,Colma,28
North America,Washington,Burien,29
North America,California,Concord,30
North America,California,National City,31
North America,California,Torrance,32
North America,California,Palo Alto,33
North America,California,Redwood City,34
North America,California,Woodland Hills,35
North America,California,Lemon Grove,36
North America,California,Spring Valley,37
North America,California,Santa Monica,38
North America,California,Los Angeles,39
North America,California,Imperial Beach,40
North America,California,Beverly Hills,41
North America,California,Downey,42
North America,California,La Jolla,43
North America,California,El Cajon,44
North America,California,Coronado,45
North America,California,Daly City,46
North America,Washington,Marysville,47
North America,Oregon,W. Linn,48
North America,Texas,Baytown,49
North America,Illinois,Chicago,50
North America,Massachusetts,Worcester,51
North America,Oregon,Woodburn,52
North America,Washington,Bremerton,53
North America,California,Long Beach,54
North America,California,Glendale,55
North America,California,Novato,56
Europe,Hamburg,Hamburg,57
Europe,Saxony,Eilenburg,58
Europe,Hesse,Frankfurt,59
Europe,North Rhine-Westphalia,Paderborn,60
Europe,Saar,Saarlouis,61
Europe,Berlin,Berlin,62
Europe,Hesse,Offenbach Am Main,63
Europe,North Rhine-Westphalia,Werne,64
Europe,Saxony,Dresden,65
Europe,North Rhine-Westphalia,Neunkirchen,66
Europe,North Rhine-Westphalia,Bottrop,67
Europe,Saar,Sulzbach Taunus,68
Europe,Bavaria,Ingolstadt,69
Europe,Hesse,Darmstadt,70
Europe,North Rhine-Westphalia,Bonn,71
Europe,Bavaria,Erlangen,72
North America,Washington,Renton,73
North America,Washington,Tacoma,74
North America,Oregon,Corvallis,75
North America,Oregon,Lebanon,76
North America,Oregon,Portland,77
North America,Oregon,Lake Oswego,78
North America,Washington,Puyallup,79
North America,Washington,Issaquah,80
North America,Oregon,Salem,81
North America,Washington,Kirkland,82
North America,Washington,Olympia,83
North America,Washington,Edmonds,84
North America,Wyoming,Cheyenne,85
North America,Washington,Sedro Woolley,86
North America,Oregon,Milwaukie,87
North America,Washington,Port Orchard,88
North America,Washington,Lynnwood,89
North America,Ohio,Cincinnati,90
North America,California,Citrus Heights,91
North America,Washington,Ballard,92
Europe,Baden-Wuerttemberg,Stuttgart,93
Europe,Bavaria,Hof,94
Europe,Bavaria,Poing,95
Europe,Lower Saxony,Hanover,96
Europe,North Rhine-Westphalia,Solingen,97
Europe,North Rhine-Westphalia,Dusseldorf,98
Europe,Hesse,Mühlheim Am Main,99
Europe,North Rhine-Westphalia,Munster,100
Europe,North Rhine-Westphalia,Essen,101
North America,California,Bell Gardens,102
North America,California,City Of Commerce,103
North America,Oregon,Clackamas,104
Europe,Saxony,Leipzig,105
Europe,Hesse,Kassel,106
Europe,Bavaria,Munich,107
Europe,Saar,Saarbrücken,108
Europe,Lower Saxony,Salzgitter,109
North America,Texas,College Station,110
North America,New York,Clay,111
North America,Georgia,Columbus,112
Europe,Schleswig-Holstein,Kiel,113
Europe,Lower Saxony,Brunswick,114
North America,Florida,Bradenton,115
Europe,North Rhine-Westphalia,Grevenbroich,116
North America,South Carolina,Bluffton,117
North America,California,Camarillo,118
North America,Illinois,Carol Stream,119
North America,California,Canoga Park,120
North America,California,Barstow,121
North America,Wyoming,Casper,122
North America,Utah,Cedar City,123
North America,Arizona,Chandler,124
North America,New York,Central Valley,125
North America,Washington,Bellevue,126
North America,New York,Cheektowaga,127
North America,Minnesota,Branch,128
North America,Kentucky,Campbellsville,129
North America,California,Carson,130
North America,North Carolina,Charlotte,131
North America,New York,Albany,132
